Geography,Total Population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size*,Average Family size*,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,,Geoid,
Johnstonville CDP,973,505,468,44.3,45.3,43.2,N/A,N/A,36,204,739,352,261,202,48.1%,21.0%,,1600000US0637484,
Litchfield CDP,160,71,89,49.0,38.8,50.5,N/A,N/A,15,36,120,71,56,41,55.6%,22.5%,,1600000US0641782,
Little Valley CDP,84,39,45,36.5,36.8,34.8,N/A,N/A,6,15,65,29,22,15,53.6%,17.9%,,1600000US0641908,
Madeline CDP,21,12,9,53.5,46.0,54.5,N/A,N/A,0,3,18,8,5,5,42.9%,14.3%,,1600000US0645008,
Milford CDP,147,74,73,53.5,48.0,54.3,N/A,N/A,4,25,122,64,45,41,49.7%,17.0%,,1600000US0647472,
Nubieber CDP,19,14,5,66.4,65.5,66.8,N/A,N/A,1,1,17,13,12,11,26.3%,5.3%,,1600000US0652610,
Patton Village CDP,632,339,293,40.2,41.1,39.1,N/A,N/A,38,143,471,217,169,116,46.4%,22.6%,,1600000US0656140,
Spaulding CDP,206,99,107,58.6,57.8,58.6,N/A,N/A,3,13,190,120,98,75,51.9%,6.3%,,1600000US0673554,
Stones Landing CDP,86,67,19,59.5,59.3,64.5,N/A,N/A,0,2,83,46,42,29,22.1%,2.3%,,1600000US0675122,
Susanville city,"16,728","11,956","4,772",33.7,33.3,35.5,N/A,N/A,643,"2,342","13,938","2,851","2,030","1,417",28.5%,14.0%,,1600000US0677364,
Westwood CDP,"1,541",794,747,51.2,52.5,50.3,N/A,N/A,69,276,"1,227",703,585,393,48.5%,17.9%,,1600000US0684928,
Los Angeles County,"10,014,009","4,906,513","5,107,496",37.5,36.4,38.7,N/A,N/A,"501,341","2,054,218","7,551,543","2,680,864","2,038,645","1,453,950",51.0%,20.5%,,0500000US06037,
Acton CDP,"7,431","3,778","3,653",48.2,47.1,49.3,N/A,N/A,287,"1,302","5,897","2,972","2,149","1,384",49.2%,17.5%,,1600000US0600212,
Agoura Hills city,"20,299","9,837","10,462",45.3,44.1,46.3,N/A,N/A,806,"4,353","15,179","7,218","5,574","4,025",51.5%,21.4%,,1600000US0600394,
Agua Dulce CDP,"3,451","1,736","1,715",49.3,50.0,48.3,N/A,N/A,118,617,"2,699","1,405","1,121",754,49.7%,17.9%,,1600000US0600450,
Alhambra city,"82,868","39,127","43,741",41.0,39.1,42.9,N/A,N/A,"3,656","13,630","66,632","26,208","20,484","15,301",52.8%,16.4%,,1600000US0600884,
Alondra Park CDP,"8,569","4,169","4,400",36.9,35.8,37.7,N/A,N/A,503,"2,009","6,204","2,176","1,600","1,069",51.3%,23.4%,,1600000US0601150,
Altadena CDP,"42,846","20,631","22,215",45.5,43.7,47.2,N/A,N/A,"1,819","7,982","33,524","15,539","12,075","8,771",51.8%,18.6%,,1600000US0601290,
Arcadia city,"56,681","27,074","29,607",44.1,42.3,45.6,N/A,N/A,"2,289","11,344","43,264","19,291","15,027","11,178",52.2%,20.0%,,1600000US0602462,
Artesia city,"16,395","8,159","8,236",40.7,39.4,42.3,N/A,N/A,691,"3,103","12,646","5,136","4,055","2,961",50.2%,18.9%,,1600000US0602896,
Avalon city,"3,460","1,663","1,797",40.6,39.8,41.5,N/A,N/A,163,756,"2,590","1,115",870,583,51.9%,21.8%,,1600000US0603274,
Avocado Heights CDP,"13,317","6,522","6,795",37.8,36.6,39.1,N/A,N/A,674,"2,829","9,900","3,688","2,812","2,061",51.0%,21.2%,,1600000US0603344,
Azusa city,"50,000","24,258","25,742",34.1,33.0,35.2,N/A,N/A,"2,725","10,579","35,809","11,453","8,427","5,787",51.5%,21.2%,,1600000US0603386,
Baldwin Park city,"72,176","35,560","36,616",36.0,34.7,37.6,N/A,N/A,"3,850","16,343","52,522","18,437","13,761","9,643",50.7%,22.6%,,1600000US0603666,
Bell city,"33,559","16,581","16,978",32.6,31.4,33.9,N/A,N/A,"2,036","8,888","23,042","6,817","4,979","3,376",50.6%,26.5%,,1600000US0604870,
Bellflower city,"79,190","38,419","40,771",35.4,34.1,36.9,N/A,N/A,"4,593","18,568","57,156","19,025","14,037","9,532",51.5%,23.4%,,1600000US0604982,
Bell Gardens city,"39,501","19,650","19,851",31.9,31.0,32.8,N/A,N/A,"2,481","10,607","26,868","7,645","5,511","3,664",50.3%,26.9%,,1600000US0604996,
Beverly Hills city,"32,701","15,027","17,674",45.5,44.5,46.2,N/A,N/A,"1,103","5,529","26,101","12,210","9,830","7,686",54.0%,16.9%,,1600000US0606308,
Bradbury city,921,456,465,50.8,50.6,51.1,N/A,N/A,37,149,744,401,309,208,50.5%,16.2%,,1600000US0607946,
Burbank city,"107,337","51,666","55,671",40.4,39.3,41.4,N/A,N/A,"4,829","18,958","85,192","31,131","23,893","17,525",51.9%,17.7%,,1600000US0608954,
Calabasas city,"23,241","11,221","12,020",44.9,43.4,45.9,N/A,N/A,855,"4,924","17,390","8,093","6,221","4,511",51.7%,21.2%,,1600000US0609598,
Carson city,"95,558","45,520","50,038",42.2,39.9,44.3,N/A,N/A,"4,160","17,877","73,668","31,852","24,736","18,138",52.4%,18.7%,,1600000US0611530,
Castaic CDP,"18,937","9,458","9,479",39.0,37.7,40.4,N/A,N/A,"1,047","4,454","13,633","5,149","3,532","2,192",50.1%,23.5%,,1600000US0611796,
Cerritos city,"49,578","23,748","25,830",46.4,45.1,47.6,N/A,N/A,"1,776","8,807","39,047","18,985","15,659","12,285",52.1%,17.8%,,1600000US0612552,
Charter Oak CDP,"9,739","4,732","5,007",38.1,35.7,40.1,N/A,N/A,455,"2,084","7,259","2,608","1,913","1,365",51.4%,21.4%,,1600000US0612734,
Citrus CDP,"10,243","5,113","5,130",34.9,33.8,35.9,N/A,N/A,609,"2,328","7,435","2,365","1,703","1,131",50.1%,22.7%,,1600000US0613560,
Claremont city,"37,266","17,243","20,023",38.5,37.6,39.2,N/A,N/A,"1,209","6,110","26,577","11,707","9,368","7,332",53.7%,16.4%,,1600000US0613756,
Commerce city,"12,378","6,061","6,317",36.5,35.0,37.7,N/A,N/A,629,"2,878","8,977","3,171","2,419","1,794",51.0%,23.3%,,1600000US0614974,
Compton city,"95,740","46,527","49,213",32.0,30.6,33.4,N/A,N/A,"6,440","26,576","64,587","19,759","14,226","9,478",51.4%,27.8%,,1600000US0615044,
Covina city,"51,268","24,620","26,648",38.7,36.8,40.4,N/A,N/A,"2,647","10,763","38,346","14,218","10,666","7,398",52.0%,21.0%,,1600000US0616742,
Cudahy city,"22,811","11,229","11,582",30.4,29.1,32.0,N/A,N/A,"1,378","6,437","15,186","3,940","2,759","1,795",50.8%,28.2%,,1600000US0617498,
Culver City city,"40,779","19,321","21,458",40.8,38.9,42.6,N/A,N/A,"2,035","7,614","32,227","12,205","9,732","7,363",52.6%,18.7%,,1600000US0617568,
Del Aire CDP,"10,338","5,153","5,185",38.8,37.1,40.2,N/A,N/A,532,"2,098","7,917","2,761","2,070","1,422",50.2%,20.3%,,1600000US0618352,
Desert View Highlands CDP,"2,676","1,308","1,368",34.5,33.0,36.0,N/A,N/A,162,676,"1,880",669,494,338,51.1%,25.3%,,1600000US0619052,
Diamond Bar city,"55,072","26,753","28,319",43.8,41.6,45.6,N/A,N/A,"2,150","10,119","42,834","18,728","14,588","10,406",51.4%,18.4%,,1600000US0619192,
Downey city,"114,355","55,678","58,677",36.6,35.2,38.1,N/A,N/A,"6,023","25,418","84,030","28,451","21,416","15,179",51.3%,22.2%,,1600000US0619766,
Duarte city,"21,727","10,173","11,554",44.3,42.4,46.1,N/A,N/A,965,"3,854","17,136","7,818","6,267","4,752",53.2%,17.7%,,1600000US0619990,
East Los Angeles CDP,"118,786","58,545","60,241",33.3,32.1,34.5,N/A,N/A,"6,830","30,409","82,697","25,157","18,879","13,339",50.7%,25.6%,,1600000US0620802,
East Pasadena CDP,"6,021","2,930","3,091",42.0,40.9,43.2,N/A,N/A,256,"1,063","4,753","2,016","1,602","1,174",51.3%,17.7%,,1600000US0620984,
East Rancho Dominguez CDP,"15,114","7,460","7,654",31.0,30.3,32.2,N/A,N/A,"1,004","4,261","10,105","2,862","2,037","1,327",50.6%,28.2%,,1600000US0621034,
East San Gabriel CDP,"22,769","11,045","11,724",41.8,39.9,43.6,N/A,N/A,978,"4,377","17,537","7,129","5,566","4,041",51.5%,19.2%,,1600000US0621096,
East Whittier CDP,"10,394","4,968","5,426",38.6,37.2,39.8,N/A,N/A,563,"2,311","7,662","2,988","2,242","1,630",52.2%,22.2%,,1600000US0621292,
Elizabeth Lake CDP,"1,651",853,798,42.8,40.0,44.2,N/A,N/A,98,344,"1,266",571,430,277,48.3%,20.8%,,1600000US0621964,
El Monte city,"109,450","54,337","55,113",36.3,35.1,37.8,N/A,N/A,"5,987","25,170","79,551","28,491","21,644","15,266",50.4%,23.0%,,1600000US0622230,
El Segundo city,"17,272","8,617","8,655",39.0,38.0,40.4,N/A,N/A,872,"3,550","13,187","4,559","3,267","2,233",50.1%,20.6%,,1600000US0622412,
Florence-Graham CDP,"61,983","30,870","31,113",30.4,29.7,31.1,N/A,N/A,"4,229","18,207","40,561","10,878","7,653","4,967",50.2%,29.4%,,1600000US0624477,
Gardena city,"61,027","29,222","31,805",40.6,38.7,42.4,N/A,N/A,"3,018","11,559","47,406","18,969","14,744","10,710",52.1%,18.9%,,1600000US0628168,
Glendale city,"196,543","93,635","102,908",41.8,40.0,43.6,N/A,N/A,"8,578","32,862","158,112","64,831","50,978","37,717",52.4%,16.7%,,1600000US0630000,
Glendora city,"52,558","25,524","27,034",42.1,40.6,43.8,N/A,N/A,"2,457","10,694","39,865","17,335","13,317","9,507",51.4%,20.3%,,1600000US0630014,
Green Valley CDP,"1,036",550,486,49.0,49.5,48.4,N/A,N/A,30,174,831,420,288,177,46.9%,16.8%,,1600000US0631092,
Hacienda Heights CDP,"54,191","26,309","27,882",43.2,41.2,45.2,N/A,N/A,"2,381","10,160","42,100","18,725","14,910","11,160",51.5%,18.7%,,1600000US0631596,
Hasley Canyon CDP,"1,195",613,582,46.1,46.5,45.5,N/A,N/A,43,246,917,420,293,200,48.7%,20.6%,,1600000US0632385,
Hawaiian Gardens city,"14,149","7,025","7,124",33.3,31.9,34.9,N/A,N/A,876,"3,560","9,896","3,166","2,362","1,625",50.3%,25.2%,,1600000US0632506,
Hawthorne city,"88,083","42,531","45,552",34.8,33.7,35.7,N/A,N/A,"5,503","20,876","63,797","19,080","13,662","9,119",51.7%,23.7%,,1600000US0632548,
Hermosa Beach city,"19,728","10,100","9,628",40.1,40.4,39.8,N/A,N/A,821,"3,453","15,804","5,155","3,663","2,636",48.8%,17.5%,,1600000US0633364,
Hidden Hills city,"1,725",821,904,48.3,48.1,48.5,N/A,N/A,39,375,"1,255",679,510,373,52.4%,21.7%,,1600000US0633518,
Huntington Park city,"54,883","27,153","27,730",33.3,32.2,34.6,N/A,N/A,"3,206","13,950","38,220","11,454","8,427","5,862",50.5%,25.4%,,1600000US0636056,
Industry city,264,119,145,51.0,52.3,49.3,N/A,N/A,14,50,209,118,107,94,54.9%,18.9%,,1600000US0636490,
Inglewood city,"107,762","50,689","57,073",37.1,35.2,38.9,N/A,N/A,"5,611","23,126","80,535","28,981","21,786","15,182",53.0%,21.5%,,1600000US0636546,
Irwindale city,"1,472",721,751,36.9,36.1,37.6,N/A,N/A,85,359,"1,050",383,279,197,51.0%,24.4%,,1600000US0636826,
La Cañada Flintridge city,"20,573","10,142","10,431",46.1,45.2,46.8,N/A,N/A,728,"4,885","14,905","7,454","5,836","4,224",50.7%,23.7%,,1600000US0639003,
La Crescenta-Montrose CDP,"19,997","9,601","10,396",43.2,41.8,44.3,N/A,N/A,894,"4,335","15,008","6,360","4,862","3,378",52.0%,21.7%,,1600000US0639045,
Ladera Heights CDP,"6,654","3,009","3,645",51.9,49.9,53.9,N/A,N/A,186,902,"5,572","3,043","2,481","1,911",54.8%,13.6%,,1600000US0639108,
La Habra Heights city,"5,682","2,785","2,897",49.4,49.7,49.2,N/A,N/A,194,954,"4,529","2,393","1,894","1,359",51.0%,16.8%,,1600000US0639304,
Lake Hughes CDP,544,289,255,47.6,49.3,45.2,N/A,N/A,24,77,461,210,159,98,46.9%,14.2%,,1600000US0639556,
Lake Los Angeles CDP,"13,187","6,651","6,536",33.3,32.1,34.2,N/A,N/A,950,"3,708","8,835","3,200","2,338","1,457",49.6%,28.1%,,1600000US0639612,
Lakewood city,"82,496","40,037","42,459",39.4,38.0,40.8,N/A,N/A,"4,574","17,293","62,065","23,663","17,873","12,386",51.5%,21.0%,,1600000US0639892,
La Mirada city,"48,008","23,046","24,962",42.1,40.6,43.3,N/A,N/A,"1,972","8,475","36,790","16,242","12,903","9,410",52.0%,17.7%,,1600000US0640032,
Lancaster city,"173,516","85,530","87,986",33.2,32.0,34.5,N/A,N/A,"11,438","47,021","118,552","40,182","29,263","19,519",50.7%,27.1%,,1600000US0640130,
La Puente city,"38,062","18,746","19,316",36.0,34.6,37.6,N/A,N/A,"2,023","8,754","27,613","9,592","7,193","4,937",50.7%,23.0%,,1600000US0640340,
La Verne city,"31,334","14,842","16,492",45.9,43.5,48.0,N/A,N/A,"1,307","6,014","24,268","12,047","9,726","7,358",52.6%,19.2%,,1600000US0640830,
Lawndale city,"31,807","15,757","16,050",35.5,34.7,36.5,N/A,N/A,"1,658","7,086","23,436","7,085","5,098","3,284",50.5%,22.3%,,1600000US0640886,
Lennox CDP,"20,323","10,206","10,117",32.3,32.1,32.6,N/A,N/A,"1,125","5,278","14,037","3,952","2,840","1,885",49.8%,26.0%,,1600000US0641180,
Leona Valley CDP,"1,555",781,774,50.9,48.8,52.8,N/A,N/A,66,262,"1,242",695,547,379,49.8%,16.8%,,1600000US0641208,
Littlerock CDP,"1,535",804,731,33.3,34.3,32.2,N/A,N/A,116,443,"1,049",357,253,178,47.6%,28.9%,,1600000US0641880,
Lomita city,"20,921","9,975","10,946",41.3,39.7,43.0,N/A,N/A,"1,102","3,971","16,289","6,813","5,278","3,679",52.3%,19.0%,,1600000US0642468,
Long Beach city,"466,742","228,518","238,224",36.4,35.7,37.1,N/A,N/A,"23,842","95,125","352,260","117,623","87,774","61,010",51.0%,20.4%,,1600000US0643000,
Los Angeles city,"3,898,747","1,925,675","1,973,072",36.5,35.7,37.3,N/A,N/A,"191,415","751,492","2,989,691","975,920","741,857","529,239",50.6%,19.3%,,1600000US0644000,
Lynwood city,"67,265","32,537","34,728",32.1,31.1,33.0,N/A,N/A,"4,116","17,610","46,429","13,124","9,482","6,291",51.6%,26.2%,,1600000US0644574,
Malibu city,"10,654","5,242","5,412",52.2,52.3,52.2,N/A,N/A,277,"1,613","8,630","4,887","3,852","2,848",50.8%,15.1%,,1600000US0645246,
Manhattan Beach city,"35,506","17,461","18,045",43.7,43.5,43.8,N/A,N/A,"1,606","8,249","26,034","11,409","8,561","6,314",50.8%,23.2%,,1600000US0645400,
Marina del Rey CDP,"11,373","5,693","5,680",38.7,38.9,38.5,N/A,N/A,372,858,"10,374","2,957","2,261","1,616",49.9%,7.5%,,1600000US0645806,
Mayflower Village CDP,"5,402","2,571","2,831",44.0,42.4,46.0,N/A,N/A,261,"1,004","4,219","1,913","1,476","1,049",52.4%,18.6%,,1600000US0646436,
Maywood city,"25,138","12,583","12,555",32.5,31.8,33.2,N/A,N/A,"1,549","6,762","17,193","4,864","3,524","2,445",49.9%,26.9%,,1600000US0646492,
Monrovia city,"37,931","18,100","19,831",40.5,38.8,42.2,N/A,N/A,"1,870","7,373","29,338","11,250","8,510","5,978",52.3%,19.4%,,1600000US0648648,
Montebello city,"62,640","30,155","32,485",37.8,35.9,39.8,N/A,N/A,"3,212","13,320","46,792","17,582","13,823","10,281",51.9%,21.3%,,1600000US0648816,
Monterey Park city,"61,096","29,324","31,772",44.0,41.6,46.0,N/A,N/A,"2,677","10,438","48,668","21,474","17,180","13,029",52.0%,17.1%,,1600000US0648914,
North El Monte CDP,"3,730","1,761","1,969",46.7,45.2,48.1,N/A,N/A,158,610,"3,014","1,417","1,145",867,52.8%,16.4%,,1600000US0651820,
Norwalk city,"102,773","50,274","52,499",36.6,35.1,38.1,N/A,N/A,"5,433","22,643","75,727","26,529","20,032","14,113",51.1%,22.0%,,1600000US0652526,
Palmdale city,"169,450","82,647","86,803",33.1,31.5,34.6,N/A,N/A,"10,809","47,140","114,187","37,938","27,119","17,796",51.2%,27.8%,,1600000US0655156,
Palos Verdes Estates city,"13,347","6,430","6,917",52.4,52.0,52.7,N/A,N/A,417,"2,683","10,178","6,083","4,885","3,765",51.8%,20.1%,,1600000US0655380,
Paramount city,"53,733","26,156","27,577",32.7,31.7,33.7,N/A,N/A,"3,288","13,958","37,121","10,786","7,848","5,153",51.3%,26.0%,,1600000US0655618,
Pasadena city,"138,699","67,025","71,674",40.0,38.6,41.2,N/A,N/A,"6,444","22,680","111,932","41,684","32,558","24,262",51.7%,16.4%,,1600000US0656000,
Pepperdine University CDP,"2,747","1,225","1,522",20.5,20.5,20.6,N/A,N/A,18,105,"1,103",134,94,72,55.4%,3.8%,,1600000US0656598,
Pico Rivera city,"62,088","30,255","31,833",38.2,36.5,39.8,N/A,N/A,"3,015","13,213","46,310","17,361","13,476","9,844",51.3%,21.3%,,1600000US0656924,
Pomona city,"151,713","75,190","76,523",34.1,32.9,35.2,N/A,N/A,"8,537","35,791","108,049","35,004","25,901","17,710",50.4%,23.6%,,1600000US0658072,
Quartz Hill CDP,"11,447","5,640","5,807",36.5,35.6,37.9,N/A,N/A,699,"2,804","8,185","3,253","2,453","1,658",50.7%,24.5%,,1600000US0659052,
Rancho Palos Verdes city,"42,287","20,406","21,881",50.0,49.0,50.9,N/A,N/A,"1,421","8,317","32,452","17,837","14,192","10,979",51.7%,19.7%,,1600000US0659514,
Redondo Beach city,"71,576","36,020","35,556",40.9,40.2,41.8,N/A,N/A,"3,891","14,515","55,261","20,122","14,991","10,512",49.7%,20.3%,,1600000US0660018,
Rolling Hills city,"1,739",809,930,55.5,56.3,54.7,N/A,N/A,32,258,"1,423",888,714,560,53.5%,14.8%,,1600000US0662602,
Rolling Hills Estates city,"8,280","3,983","4,297",50.4,49.3,51.4,N/A,N/A,247,"1,717","6,265","3,582","2,896","2,227",51.9%,20.7%,,1600000US0662644,
Rose Hills CDP,"2,927","1,412","1,515",45.7,45.0,46.9,N/A,N/A,113,467,"2,371","1,084",892,711,51.8%,16.0%,,1600000US0662860,
Rosemead city,"51,185","25,032","26,153",42.5,40.3,44.6,N/A,N/A,"2,137","9,222","39,956","16,524","12,693","9,223",51.1%,18.0%,,1600000US0662896,
Rowland Heights CDP,"48,231","23,543","24,688",42.9,40.7,44.9,N/A,N/A,"2,159","8,560","37,966","16,716","13,235","9,663",51.2%,17.7%,,1600000US0663218,
San Dimas city,"34,924","16,592","18,332",43.7,41.8,45.3,N/A,N/A,"1,601","6,720","26,873","12,440","9,856","7,258",52.5%,19.2%,,1600000US0666070,
San Fernando city,"23,946","11,967","11,979",35.4,34.3,36.4,N/A,N/A,"1,235","5,645","17,198","5,554","4,118","2,810",50.0%,23.6%,,1600000US0666140,
San Gabriel city,"39,568","18,879","20,689",42.8,40.7,44.8,N/A,N/A,"1,757","6,732","31,550","12,820","9,705","6,990",52.3%,17.0%,,1600000US0667042,
San Marino city,"12,513","6,107","6,406",48.1,46.6,49.2,N/A,N/A,413,"2,621","9,348","4,894","3,878","2,923",51.2%,20.9%,,1600000US0668224,
San Pasqual CDP,"2,101","1,005","1,096",43.6,41.1,45.4,N/A,N/A,136,405,"1,636",713,564,419,52.2%,19.3%,,1600000US0668308,
Santa Clarita city,"228,673","111,809","116,864",38.5,37.2,39.7,N/A,N/A,"12,369","53,717","165,367","60,952","44,774","30,519",51.1%,23.5%,,1600000US0669088,
Santa Fe Springs city,"19,219","9,198","10,021",39.1,37.4,40.7,N/A,N/A,989,"3,974","14,542","5,552","4,274","3,108",52.1%,20.7%,,1600000US0669154,
Santa Monica city,"93,076","44,956","48,120",41.5,40.7,42.3,N/A,N/A,"3,368","12,646","78,422","29,891","23,829","18,166",51.7%,13.6%,,1600000US0670000,
Sierra Madre city,"11,268","5,259","6,009",48.3,47.2,49.1,N/A,N/A,474,"2,125","8,841","4,451","3,564","2,715",53.3%,18.9%,,1600000US0671806,
Signal Hill city,"11,848","5,803","6,045",38.3,37.6,38.8,N/A,N/A,664,"2,404","9,035","3,027","2,223","1,541",51.0%,20.3%,,1600000US0671876,
South El Monte city,"19,567","9,819","9,748",35.6,34.8,36.5,N/A,N/A,"1,050","4,640","14,053","4,815","3,619","2,521",49.8%,23.7%,,1600000US0672996,
South Gate city,"92,726","45,556","47,170",34.0,32.8,35.2,N/A,N/A,"5,286","22,811","65,580","20,524","15,253","10,486",50.9%,24.6%,,1600000US0673080,
South Monrovia Island CDP,"6,515","3,240","3,275",37.4,36.0,39.2,N/A,N/A,349,"1,448","4,786","1,792","1,305",852,50.3%,22.2%,,1600000US0673167,
South Pasadena city,"26,943","12,794","14,149",41.2,40.3,41.9,N/A,N/A,"1,224","6,236","19,853","7,446","5,672","4,207",52.5%,23.1%,,1600000US0673220,
South San Gabriel CDP,"7,920","3,861","4,059",45.0,43.5,46.8,N/A,N/A,344,"1,305","6,371","2,902","2,305","1,725",51.3%,16.5%,,1600000US0673276,
South San Jose Hills CDP,"19,855","9,904","9,951",34.5,33.3,35.8,N/A,N/A,"1,103","4,664","14,238","4,786","3,535","2,433",50.1%,23.5%,,1600000US0673290,
South Whittier CDP,"56,415","27,802","28,613",35.8,34.4,37.2,N/A,N/A,"3,168","13,283","40,583","13,603","9,992","6,823",50.7%,23.5%,,1600000US0673430,
Stevenson Ranch CDP,"20,178","9,871","10,307",40.2,38.7,41.2,N/A,N/A,805,"4,914","14,217","4,853","3,206","2,082",51.1%,24.4%,,1600000US0674130,
Sun Village CDP,"12,345","6,304","6,041",34.3,33.4,35.2,N/A,N/A,760,"3,309","8,349","3,140","2,264","1,499",48.9%,26.8%,,1600000US0677308,
Temple City city,"36,494","17,457","19,037",43.4,40.9,45.3,N/A,N/A,"1,588","6,933","28,224","12,119","9,414","6,962",52.2%,19.0%,,1600000US0678148,
Topanga CDP,"8,560","4,160","4,400",47.9,48.1,47.8,N/A,N/A,363,"1,555","6,775","3,282","2,522","1,809",51.4%,18.2%,,1600000US0678960,
Torrance city,"147,067","71,687","75,380",43.0,41.3,44.5,N/A,N/A,"6,840","28,643","113,882","49,039","37,803","27,378",51.3%,19.5%,,1600000US0680000,
Valinda CDP,"22,437","11,078","11,359",36.0,35.2,37.3,N/A,N/A,"1,175","5,019","16,463","5,714","4,293","2,943",50.6%,22.4%,,1600000US0681638,
Val Verde CDP,"2,399","1,239","1,160",35.8,36.2,35.4,N/A,N/A,137,558,"1,709",563,416,242,48.4%,23.3%,,1600000US0681967,
Vernon city,222,104,118,33.3,28.3,34.6,N/A,N/A,15,74,138,46,40,23,53.2%,33.3%,,1600000US0682422,
View Park-Windsor Hills CDP,"11,419","5,171","6,248",49.0,45.5,51.3,N/A,N/A,423,"1,666","9,434","4,692","3,679","2,727",54.7%,14.6%,,1600000US0682667,
Vincent CDP,"15,714","7,735","7,979",37.3,36.2,38.3,N/A,N/A,852,"3,360","11,664","4,081","2,992","2,095",50.8%,21.4%,,1600000US0682815,
Walnut city,"28,430","13,828","14,602",46.5,44.0,48.5,N/A,N/A,967,"4,866","22,383","10,948","8,685","6,299",51.4%,17.1%,,1600000US0683332,
Walnut Park CDP,"15,214","7,551","7,663",35.1,34.1,36.0,N/A,N/A,757,"3,579","10,968","3,621","2,683","1,905",50.4%,23.5%,,1600000US0683402,
West Athens CDP,"9,393","4,504","4,889",36.0,33.6,37.5,N/A,N/A,569,"2,315","6,667","2,391","1,810","1,286",52.0%,24.6%,,1600000US0684116,
West Carson CDP,"22,870","11,131","11,739",45.7,43.5,48.0,N/A,N/A,870,"3,529","18,693","8,571","6,806","5,036",51.3%,15.4%,,1600000US0684144,
West Covina city,"109,501","53,133","56,368",39.4,37.3,41.5,N/A,N/A,"5,165","21,625","83,430","32,605","24,914","17,977",51.5%,19.7%,,1600000US0684200,
West Hollywood city,"35,757","20,017","15,740",40.4,41.9,38.5,N/A,N/A,618,"1,522","33,998","10,153","7,756","5,805",44.0%,4.3%,,1600000US0684410,
Westlake Village city,"8,029","3,849","4,180",51.9,51.0,52.7,N/A,N/A,246,"1,445","6,333","3,618","2,964","2,248",52.1%,18.0%,,1600000US0684438,
Westmont CDP,"33,913","15,939","17,974",33.3,31.2,35.2,N/A,N/A,"2,257","9,305","23,077","7,631","5,520","3,643",53.0%,27.4%,,1600000US0684592,
West Puente Valley CDP,"22,959","11,278","11,681",37.8,36.2,39.3,N/A,N/A,"1,222","4,881","17,032","6,521","5,022","3,560",50.9%,21.3%,,1600000US0684774,
West Rancho Dominguez CDP,"24,347","11,540","12,807",35.5,34.0,36.7,N/A,N/A,"1,465","5,951","17,349","6,206","4,573","3,150",52.6%,24.4%,,1600000US0684780,
West Whittier-Los Nietos CDP,"25,325","12,314","13,011",37.9,36.6,39.3,N/A,N/A,"1,301","5,528","18,739","6,945","5,417","3,886",51.4%,21.8%,,1600000US0684921,
Whittier city,"87,306","42,404","44,902",38.4,36.7,40.0,N/A,N/A,"4,573","19,278","64,454","23,814","18,062","12,925",51.4%,22.1%,,1600000US0685292,
Willowbrook CDP,"24,295","11,903","12,392",30.8,30.2,31.6,N/A,N/A,"1,564","6,964","16,053","4,570","3,314","2,168",51.0%,28.7%,,1600000US0685614,
Madera County,"156,255","77,881","78,374",35.0,34.5,35.4,N/A,N/A,"10,488","43,026","106,665","41,000","31,907","22,959",50.2%,27.5%,,0500000US06039,
Ahwahnee CDP,"2,296","1,113","1,183",51.7,50.9,52.6,N/A,N/A,103,465,"1,794","1,069",920,726,51.5%,20.3%,,1600000US0600478,
Bass Lake CDP,575,274,301,62.3,58.9,64.4,N/A,N/A,17,61,505,353,312,259,52.3%,10.6%,,1600000US0604198,
Bonadelle Ranchos CDP,"5,497","2,775","2,722",39.7,39.4,40.0,N/A,N/A,314,"1,343","3,927","1,736","1,315",946,49.5%,24.4%,,1600000US0607378,
Chowchilla city,"19,039","9,532","9,507",36.7,39.4,34.6,N/A,N/A,"1,008","4,044","14,358","4,405","3,102","1,975",49.9%,21.2%,,1600000US0613294,
Coarsegold CDP,"4,144","2,017","2,127",53.3,53.1,53.5,N/A,N/A,210,780,"3,274","2,012","1,719","1,341",51.3%,18.8%,,1600000US0614288,
Fairmead CDP,"1,235",609,626,33.8,34.6,33.4,N/A,N/A,100,354,818,304,223,145,50.7%,28.7%,,1600000US0623210,
La Vina CDP,637,338,299,29.1,26.1,34.9,N/A,N/A,56,206,402,126,90,65,46.9%,32.3%,,1600000US0640872,
Madera city,"66,224","33,028","33,196",29.3,28.6,30.2,N/A,N/A,"5,403","21,764","41,206","12,081","9,068","6,399",50.1%,32.9%,,1600000US0645022,
Madera Acres CDP,"9,162","4,567","4,595",34.0,33.4,34.6,N/A,N/A,541,"2,604","6,142","2,295","1,800","1,235",50.2%,28.4%,,1600000US0645050,
Madera Ranchos CDP,"3,623","1,800","1,823",42.5,40.9,45.1,N/A,N/A,196,804,"2,680","1,296","1,057",789,50.3%,22.2%,,1600000US0645054,
Nipinnawasee CDP,434,223,211,45.5,39.1,52.8,N/A,N/A,19,66,351,173,140,94,48.6%,15.2%,,1600000US0651470,
North Fork CDP,"3,250","1,610","1,640",51.0,50.9,51.1,N/A,N/A,172,656,"2,509","1,462","1,216",979,50.5%,20.2%,,1600000US0651868,
