County,TotalPop,MalePop,FemalePop,MedianAge,MaleMedianAge,FemaleMedianAge,Under5yoPop,Under18yoPop,Pop21andOlder,Pop55andOlder,Pop60andOlder,Pop65andOlder,PercFemale,PercUnder18yo,num_desig,amer_indian,black,hispanic,asian,multi_race,pac_island,white,poverty,labor_force,unemployed,median_income,TotalDeaths,TotalCases,prop_hpsa,nonwhite_prop,Rating,Deaths,DeathsperThou,unempl_prop,poverty_prop,prop55older,Cases,HospNumber,CasesperThou
Santa Cruz,270861,134471,136390,40.2,39.1,41.3,11939,51097,203996,86111,68014,49193,50.4,18.9,8,1069,2683,91706,12185,8204,327,150009,27132,135800,6900,90370,176,5853,0.36363636363636365,0.446177190514692,Worse,0,0,0.0508100147275405,0.10016945961212578,0.31791583136738033,0,2,0
Shasta,182155,89654,92501,42.8,41.3,44.5,9592,38643,137656,67271,54393,40779,50.8,21.2,13,4086,1951,20313,5750,7148,282,139925,25141,73000,3700,60187,405,9242,0.1511627906976744,0.23183552469051083,As Expected,160,0.8783728143613955,0.050684931506849315,0.13801981828662402,0.36930635996815897,5313,223,29.16746726688809
Shasta,182155,89654,92501,42.8,41.3,44.5,9592,38643,137656,67271,54393,40779,50.8,21.2,13,4086,1951,20313,5750,7148,282,139925,25141,73000,3700,60187,405,9242,0.1511627906976744,0.23183552469051083,Better,0,0,0.050684931506849315,0.13801981828662402,0.36930635996815897,0,4,0
Shasta,182155,89654,92501,42.8,41.3,44.5,9592,38643,137656,67271,54393,40779,50.8,21.2,13,4086,1951,20313,5750,7148,282,139925,25141,73000,3700,60187,405,9242,0.1511627906976744,0.23183552469051083,Worse,245,1.3450083719908867,0.050684931506849315,0.13801981828662402,0.36930635996815897,3929,44,21.569542422662018
Solano,453491,224784,228707,39,37.6,40.4,25069,98721,337875,136897,105588,75040,50.4,21.8,0,1828,59248,126596,70934,24542,3893,156507,44037,202000,9900,87348,543,13883,0,0.654883999902975,As Expected,486,1.0716860974087687,0.04900990099009901,0.097106668048539,0.3018736865781239,13037,400,28.748089818761564
Solano,453491,224784,228707,39,37.6,40.4,25069,98721,337875,136897,105588,75040,50.4,21.8,0,1828,59248,126596,70934,24542,3893,156507,44037,202000,9900,87348,543,13883,0,0.654883999902975,Better,0,0,0.04900990099009901,0.097106668048539,0.3018736865781239,0,2,0
Solano,453491,224784,228707,39,37.6,40.4,25069,98721,337875,136897,105588,75040,50.4,21.8,0,1828,59248,126596,70934,24542,3893,156507,44037,202000,9900,87348,543,13883,0,0.654883999902975,Worse,57,0.1256915793257198,0.04900990099009901,0.097106668048539,0.3018736865781239,846,28,1.865527651044894
Sonoma,488863,238535,250328,42.6,40.9,44.3,22615,95711,376112,171112,136987,102022,51.2,19.6,0,3319,7938,136073,21614,14723,1572,293978,43661,250100,9600,92999,375,11504,0,0.3986495193950043,As Expected,245,0.5011629024900637,0.03838464614154338,0.08931132034946396,0.3500203533505297,8292,552,16.96180729570452
Sonoma,488863,238535,250328,42.6,40.9,44.3,22615,95711,376112,171112,136987,102022,51.2,19.6,0,3319,7938,136073,21614,14723,1572,293978,43661,250100,9600,92999,375,11504,0,0.3986495193950043,Better,16,0.03272900587690212,0.03838464614154338,0.08931132034946396,0.3500203533505297,1308,12,2.675596230436748
Sonoma,488863,238535,250328,42.6,40.9,44.3,22615,95711,376112,171112,136987,102022,51.2,19.6,0,3319,7938,136073,21614,14723,1572,293978,43661,250100,9600,92999,375,11504,0,0.3986495193950043,Worse,114,0.23319416687292757,0.03838464614154338,0.08931132034946396,0.3500203533505297,1904,26,3.8947516993513522
Stanislaus,552878,272558,280320,35.5,34.4,36.5,35390,144970,384444,143291,109703,78433,50.7,26.2,20,2716,14995,271156,30994,15653,3994,209193,76921,241200,15700,73151,605,20967,0.20618556701030927,0.6216290031435506,As Expected,535,0.9676637522202005,0.06509121061359867,0.1391283429617384,0.2591729097558593,19565,417,35.387553854557424
Stanislaus,552878,272558,280320,35.5,34.4,36.5,35390,144970,384444,143291,109703,78433,50.7,26.2,20,2716,14995,271156,30994,15653,3994,209193,76921,241200,15700,73151,605,20967,0.20618556701030927,0.6216290031435506,Better,0,0,0.06509121061359867,0.1391283429617384,0.2591729097558593,0,21,0
Stanislaus,552878,272558,280320,35.5,34.4,36.5,35390,144970,384444,143291,109703,78433,50.7,26.2,20,2716,14995,271156,30994,15653,3994,209193,76921,241200,15700,73151,605,20967,0.20618556701030927,0.6216290031435506,Worse,70,0.12661021057086735,0.06509121061359867,0.1391283429617384,0.2591729097558593,1402,30,2.5358216460050857
Tulare,473117,234710,238407,32.3,31.4,33.1,33927,142024,309281,106889,81247,57838,50.4,NA,82,3305,6237,317073,16086,7027,440,126312,88367,209400,20600,57398,540,14384,0.47126436781609193,0.7330216415812579,As Expected,482,1.0187754825973279,0.09837631327602674,0.18677620969020348,0.2259250882973979,13193,241,27.885279962461716
Tulare,473117,234710,238407,32.3,31.4,33.1,33927,142024,309281,106889,81247,57838,50.4,NA,82,3305,6237,317073,16086,7027,440,126312,88367,209400,20600,57398,540,14384,0.47126436781609193,0.7330216415812579,Better,0,0,0.09837631327602674,0.18677620969020348,0.2259250882973979,0,4,0
Tulare,473117,234710,238407,32.3,31.4,33.1,33927,142024,309281,106889,81247,57838,50.4,NA,82,3305,6237,317073,16086,7027,440,126312,88367,209400,20600,57398,540,14384,0.47126436781609193,0.7330216415812579,Worse,58,0.12259124064449174,0.09837631327602674,0.18677620969020348,0.2259250882973979,1191,26,2.5173477173722354
Tuolumne,55620,28790,26830,48.9,45.9,51.7,2360,9352,44700,24061,20027,15053,48.2,16.8,3,780,863,6979,711,1507,136,41956,6848,20280,1040,61396,118,1923,0.375,0.24566702624955053,As Expected,94,1.690039554117224,0.05128205128205128,0.12312117943185905,0.43259618842143116,1577,85,28.353110391945346
Tuolumne,55620,28790,26830,48.9,45.9,51.7,2360,9352,44700,24061,20027,15053,48.2,16.8,3,780,863,6979,711,1507,136,41956,6848,20280,1040,61396,118,1923,0.375,0.24566702624955053,Better,0,0,0.05128205128205128,0.12312117943185905,0.43259618842143116,0,2,0
Tuolumne,55620,28790,26830,48.9,45.9,51.7,2360,9352,44700,24061,20027,15053,48.2,16.8,3,780,863,6979,711,1507,136,41956,6848,20280,1040,61396,118,1923,0.375,0.24566702624955053,Worse,24,0.43149946062567424,0.05128205128205128,0.12312117943185905,0.43259618842143116,346,6,6.220783890686803
Ventura,843843,414453,429390,39.5,38.1,40.8,43544,187645,621672,256681,198153,142526,50.9,22.2,0,2418,14826,362700,62245,21220,1490,359527,73968,412100,19100,95819,598,20817,0,0.573940887108147,As Expected,530,0.6280789198938665,0.04634797379276875,0.08765611612586702,0.30418099101373125,17241,683,20.43152576960406
Ventura,843843,414453,429390,39.5,38.1,40.8,43544,187645,621672,256681,198153,142526,50.9,22.2,0,2418,14826,362700,62245,21220,1490,359527,73968,412100,19100,95819,598,20817,0,0.573940887108147,Better,54,0.06399294655522414,0.04634797379276875,0.08765611612586702,0.30418099101373125,3286,36,3.8940893033419726
Ventura,843843,414453,429390,39.5,38.1,40.8,43544,187645,621672,256681,198153,142526,50.9,22.2,0,2418,14826,362700,62245,21220,1490,359527,73968,412100,19100,95819,598,20817,0,0.573940887108147,Worse,14,0.016590763921724774,0.04634797379276875,0.08765611612586702,0.30418099101373125,290,30,0.34366582409287033
