County,TotalPop,MalePop,FemalePop,MedianAge,MaleMedianAge,FemaleMedianAge,Under5yoPop,Under18yoPop,Pop21andOlder,Pop55andOlder,Pop60andOlder,Pop65andOlder,PercFemale,PercUnder18yo,num_desig,amer_indian,black,hispanic,asian,multi_race,pac_island,white,poverty,labor_force,unemployed,median_income,TotalDeaths,TotalCases,prop_hpsa,nonwhite_prop,Rating,Deaths,DeathsperThou,unempl_prop,poverty_prop,prop55older,Cases,HospNumber,CasesperThou
Humboldt,136463,67754,68709,39.1,38.3,39.9,6678,26654,103999,43483,35242,26122,50.3,19.5,30,6975,1679,17321,3784,6638,386,97521,25781,58800,2900,53924,173,3837,0.32967032967032966,0.2853667294431458,Better,0,0,0.04931972789115646,0.18892300477052387,0.3186431486923195,0,4,0
Humboldt,136463,67754,68709,39.1,38.3,39.9,6678,26654,103999,43483,35242,26122,50.3,19.5,30,6975,1679,17321,3784,6638,386,97521,25781,58800,2900,53924,173,3837,0.32967032967032966,0.2853667294431458,Worse,38,0.2784637594073119,0.04931972789115646,0.18892300477052387,0.3186431486923195,576,15,4.220924353121359
Imperial,179702,90121,89581,34.6,33.1,36.3,10762,47502,124362,45369,34747,24493,49.8,26.4,31,1343,4131,154215,2117,1004,142,16838,29738,71900,14200,50970,118,3971,0.30392156862745096,0.9063004307130694,As Expected,103,0.5731711388854882,0.19749652294853964,0.16548508085608396,0.2524679747582108,3348,159,18.630844397947712
Imperial,179702,90121,89581,34.6,33.1,36.3,10762,47502,124362,45369,34747,24493,49.8,26.4,31,1343,4131,154215,2117,1004,142,16838,29738,71900,14200,50970,118,3971,0.30392156862745096,0.9063004307130694,Better,4,0.02225907335477624,0.19749652294853964,0.16548508085608396,0.2524679747582108,420,2,2.3372027022515054
Imperial,179702,90121,89581,34.6,33.1,36.3,10762,47502,124362,45369,34747,24493,49.8,26.4,31,1343,4131,154215,2117,1004,142,16838,29738,71900,14200,50970,118,3971,0.30392156862745096,0.9063004307130694,Worse,11,0.061212451725634665,0.19749652294853964,0.16548508085608396,0.2524679747582108,203,9,1.129647972754894
Kern,909235,460227,449008,32.8,32.1,33.5,63450,257496,612107,206652,155267,107188,49.4,28.3,122,5309,46510,509761,44728,18003,1097,284704,164169,397400,32000,57926,687,26174,0.4899598393574297,0.6868752302760013,As Expected,577,0.6345994159925652,0.0805234021137393,0.18055728167085516,0.22728117593361452,22062,760,24.26435409987517
Kern,909235,460227,449008,32.8,32.1,33.5,63450,257496,612107,206652,155267,107188,49.4,28.3,122,5309,46510,509761,44728,18003,1097,284704,164169,397400,32000,57926,687,26174,0.4899598393574297,0.6868752302760013,Better,14,0.015397559486821338,0.0805234021137393,0.18055728167085516,0.22728117593361452,1742,9,1.9158963304316265
Kern,909235,460227,449008,32.8,32.1,33.5,63450,257496,612107,206652,155267,107188,49.4,28.3,122,5309,46510,509761,44728,18003,1097,284704,164169,397400,32000,57926,687,26174,0.4899598393574297,0.6868752302760013,Worse,96,0.10558326505248918,0.0805234021137393,0.18055728167085516,0.22728117593361452,2370,52,2.6065868559833265
Kings,152486,82573,69913,32.9,33.2,32.5,10409,40551,105533,32049,23620,16146,45.8,26.6,27,1384,9500,86302,5776,3504,314,45560,24295,57500,4400,60810,187,4715,0.4153846153846154,0.7012184725155096,As Expected,126,0.826305365738494,0.07652173913043478,0.1593261020683866,0.2101766719567698,3468,92,22.743071495088074
Kings,152486,82573,69913,32.9,33.2,32.5,10409,40551,105533,32049,23620,16146,45.8,26.6,27,1384,9500,86302,5776,3504,314,45560,24295,57500,4400,60810,187,4715,0.4153846153846154,0.7012184725155096,Better,0,0,0.07652173913043478,0.1593261020683866,0.2101766719567698,0,2,0
