County,Total_Deaths_As Expected,Total_Deaths_Better,Total_Deaths_Worse,Total_Cases_As Expected,Total_Cases_Better,Total_Cases_Worse,TotalPop,MalePop,FemalePop,MedianAge,MaleMedianAge,FemaleMedianAge,Under5yoPop,Under18yoPop,Pop21andOlder,Pop55andOlder,Pop60andOlder,Pop65andOlder,PercFemale,PercUnder18yo,num_worse,num_asexp,num_better,num_withdr,num_desig,amer_indian,black,hispanic,asian,multi_race,pac_island,white,poverty,labor_force,unemployed,median_income
Nevada,92,0,0,2835,0,0,102241,50424,51817,49.7,47.8,51.6,4186,17910,81732,44944,37460,28559,50.7,17.5,NA,144,2,0,5,803,534,10138,1435,2849,170,83867,12141,47630,1990,77220
Orange,1878,138,20,63651,8083,166,3186989,1563452,1623537,39,37.6,40.3,156601,667331,2381657,912040,695534,501104,50.9,20.9,70,2249,174,86,85,6127,54025,1067103,701414,91338,8683,1211785,309402,1592500,62600,100210
Placer,409,26,168,11138,1248,3129,404739,196942,207797,42.4,41,43.8,20691,91622,299162,137262,109559,82923,51.3,22.6,16,324,18,22,10,2232,7611,62605,36534,16369,940,286753,26816,195700,7800,103588
Plumas,8,0,0,254,0,0,19790,9948,9842,53,51.8,54,845,3450,15859,9407,7877,5902,49.7,17.4,NA,81,NA,12,7,383,183,1930,165,645,28,15575,2545,7520,430,58154
Riverside,1279,172,30,50990,12417,547,2418185,1199118,1219067,36.8,35.8,37.9,139284,594680,1715512,665267,512874,370792,50.4,24.6,52,1614,66,50,110,11350,153510,1258192,168829,60089,7620,788052,282068,1143100,61800,78690
Sacramento,1480,70,103,51294,4680,2248,1585055,774787,810268,36.9,35.7,38.2,93714,367746,1157501,432089,332185,237649,51.1,23.2,37,970,41,42,0,7690,151708,379548,267232,81229,18208,661947,203413,734900,34500,79611
San Benito,21,0,0,730,0,0,64209,31941,32268,36.6,35.9,37.3,4088,16294,45182,16768,12602,8764,50.3,25.4,13,70,NA,10,11,266,745,41187,2595,1241,160,20257,5899,32500,1800,95187
San Bernardino,1182,46,262,52777,6748,5852,2181654,1078849,1102805,34.9,33.7,36,135299,552612,1532953,538762,403345,277924,50.5,25.3,71,1406,101,110,191,8121,175551,1217877,173233,48725,6916,558853,285474,999400,51000,74218
San Diego,1940,258,274,70417,16939,6118,3298634,1642796,1655838,37.1,35.7,38.5,174765,689866,2461162,902436,695087,499874,50.2,20.9,90,1705,151,835,82,13806,154587,1144893,403747,118802,13879,1443449,340522,1594100,68400,90756
San Francisco,560,36,474,20866,1655,8410,873965,446144,427821,38.2,38.1,38.3,34890,113227,739967,242321,190340,142099,NA,NA,46,1039,38,43,0,1690,42618,129499,301553,31667,3205,320040,90898,578400,20600,119776
San Joaquin,591,81,49,22101,5286,1178,779233,388163,391070,35.4,34.3,36.4,50041,205833,538902,196685,150012,106606,50.2,26.4,19,695,24,114,51,3298,55683,337646,135117,28383,5116,223036,95382,345900,21500,79598
San Luis Obispo,222,0,0,5414,0,0,282424,140271,142153,41.4,40,43.1,12536,50680,215731,100554,82003,61253,50.3,17.9,4,425,2,9,0,1334,4487,66736,10514,7509,348,190044,35120,138100,5100,79688
San Mateo,479,30,24,15200,2060,454,764442,377546,386896,39.9,38.4,41.2,40001,154206,586503,224120,172825,126316,50.6,20.2,34,634,28,24,17,1036,16216,174620,229299,28715,9240,273955,49900,457100,15200,131151
Santa Barbara,329,0,48,9041,0,728,448229,222051,226178,35.7,34.7,36.8,24738,97424,322384,126967,100589,74701,50.5,21.7,16,398,3,13,23,1829,7579,210360,23839,11134,771,190857,65029,226100,8800,83185
Santa Clara,1337,74,213,44762,5400,4315,1936259,975313,960946,37.5,36.4,38.7,101857,406542,1459434,499592,375483,267535,49.6,NA,31,1186,51,12,0,3821,45110,465222,750276,61047,7166,544886,128955,1051800,40700,141161
Santa Cruz,176,0,0,5853,0,0,270861,134471,136390,40.2,39.1,41.3,11939,51097,203996,86111,68014,49193,50.4,18.9,2,198,4,14,8,1069,2683,91706,12185,8204,327,150009,27132,135800,6900,90370
Shasta,160,0,245,5313,0,3929,182155,89654,92501,42.8,41.3,44.5,9592,38643,137656,67271,54393,40779,50.8,21.2,44,223,4,73,13,4086,1951,20313,5750,7148,282,139925,25141,73000,3700,60187
Siskiyou,15,0,10,658,0,112,44076,21872,22204,48.5,46.7,50,2054,8486,34211,18905,15701,11790,50.4,19.3,5,143,NA,10,12,1712,564,6001,705,2074,106,32367,7301,17230,1000,50069
Solano,486,0,57,13037,0,846,453491,224784,228707,39,37.6,40.4,25069,98721,337875,136897,105588,75040,50.4,21.8,28,400,2,2,0,1828,59248,126596,70934,24542,3893,156507,44037,202000,9900,87348
Sonoma,245,16,114,8292,1308,1904,488863,238535,250328,42.6,40.9,44.3,22615,95711,376112,171112,136987,102022,51.2,19.6,26,552,12,129,0,3319,7938,136073,21614,14723,1572,293978,43661,250100,9600,92999
Stanislaus,535,0,70,19565,0,1402,552878,272558,280320,35.5,34.4,36.5,35390,144970,384444,143291,109703,78433,50.7,26.2,30,417,21,77,20,2716,14995,271156,30994,15653,3994,209193,76921,241200,15700,73151
Tehama,62,0,0,1333,0,0,65829,32827,33002,40.4,39.3,41.6,3861,15978,47587,22523,17813,13165,50.1,24.3,4,79,NA,10,11,1183,529,17753,892,1841,112,42361,10107,25770,1560,53654
Trinity,2,0,0,133,0,0,16112,9068,7044,47.6,46.6,48.8,711,2693,13031,6664,5466,4006,43.7,16.7,NA,40,NA,0,5,645,91,1220,340,738,32,12899,3010,4650,240,45508
Tulare,482,0,58,13193,0,1191,473117,234710,238407,32.3,31.4,33.1,33927,142024,309281,106889,81247,57838,50.4,NA,26,241,4,92,82,3305,6237,317073,16086,7027,440,126312,88367,209400,20600,57398
Tuolumne,94,0,24,1577,0,346,55620,28790,26830,48.9,45.9,51.7,2360,9352,44700,24061,20027,15053,48.2,16.8,6,85,2,5,3,780,863,6979,711,1507,136,41956,6848,20280,1040,61396
Ventura,530,54,14,17241,3286,290,843843,414453,429390,39.5,38.1,40.8,43544,187645,621672,256681,198153,142526,50.9,22.2,30,683,36,52,0,2418,14826,362700,62245,21220,1490,359527,73968,412100,19100,95819
Yolo,92,0,0,2280,0,0,216403,104292,112111,33.3,32.5,34.1,11307,45147,153635,53788,41684,30209,51.8,20.9,6,156,NA,10,0,1134,5827,72548,33189,10072,909,99788,30708,110400,5100,76247
Yuba,245,0,0,6981,0,0,81575,41063,40512,34.3,33.3,35.3,5905,22030,56221,20543,15664,10915,49.7,NA,2,114,NA,2,2,1231,3306,25190,5959,4083,360,42844,12784,32300,2000,60764
