Geography,TotalPop,MalePop,FemalePop,MedianAge,MaleMedianAge,FemaleMedianAge,Under5yoPop,Under18yoPop,Pop21andOlder,Pop55andOlder,Pop60andOlder,Pop65andOlder,PercFemale,PercUnder18yo
San Jose city,1013240,509260,503980,37.6,36.6,38.6,53351,213763,760094,258360,192099,134617,49.7,21.1
San Martin CDP,7008,3681,3327,43.2,43.3,43,340,1449,5311,2398,1837,1322,47.5,20.7
Santa Clara city,127647,65441,62206,34.5,34,35.2,7905,24478,97459,27152,20319,14374,48.7,19.2
Saratoga city,31051,15282,15769,49.9,49.5,50.4,794,6176,23777,12721,9891,7356,50.8,19.9
Stanford CDP,21150,10846,10304,25.8,26.2,25.5,347,1000,18930,1234,934,739,48.7,4.7
Sunnyvale city,155805,80520,75285,35.1,34.3,36.1,9722,31275,120845,34669,26214,18637,48.3,20.1
Santa Cruz County,270861,134471,136390,40.2,39.1,41.3,11939,51097,203996,86111,68014,49193,50.4,18.9
Amesti CDP,2637,1330,1307,37.6,35.5,40.5,145,608,1920,794,617,446,49.6,23.1
Aptos CDP,6664,3258,3406,48.9,48.3,49.3,249,1168,5291,2819,2265,1724,51.1,17.5
Aptos Hills-Larkin Valley CDP,2383,1160,1223,51.4,50.1,52.3,87,351,1950,1066,875,642,51.3,14.7
Ben Lomond CDP,6337,3158,3179,45.8,44.5,47.1,284,1147,5015,2363,1836,1294,50.2,18.1
Bonny Doon CDP,2868,1479,1389,48.2,49.7,46.5,97,484,2309,1172,965,756,48.4,16.9
Boulder Creek CDP,5429,2756,2673,46.3,46.6,46,215,932,4351,2000,1547,1040,49.2,17.2
Brookdale CDP,2043,1041,1002,44.2,46.5,43,74,338,1637,736,576,397,49,16.5
Capitola city,9938,4632,5306,46.8,44.7,48.6,366,1444,8197,3893,3134,2376,53.4,14.5
Corralitos CDP,2342,1192,1150,47.2,44,51,80,403,1826,959,781,578,49.1,17.2
Davenport CDP,388,194,194,40.7,40.8,40.5,23,98,279,131,92,65,50,25.3
Day Valley CDP,3410,1686,1724,50.5,50.1,50.8,128,578,2742,1547,1315,1008,50.6,17
Felton CDP,4489,2235,2254,45.3,45.1,45.4,174,762,3594,1645,1276,885,50.2,17
Freedom CDP,3835,1873,1962,33.5,33.1,33.8,271,1083,2573,848,623,449,51.2,28.2
Interlaken CDP,7368,3708,3660,35.1,33.7,36.5,429,1896,5151,1897,1444,1017,49.7,25.7
La Selva Beach CDP,2531,1191,1340,53.9,53.5,54.2,103,406,2064,1233,1029,763,52.9,16
Live Oak CDP,17038,8403,8635,43.4,41.7,45.1,743,3094,13380,5880,4679,3429,50.7,18.2
Lompico CDP,1154,568,586,44.9,42.8,46.5,51,163,961,411,320,210,50.8,14.1
Mount Hermon CDP,1110,535,575,39,37.2,41.4,53,208,859,325,262,197,51.8,18.7
Pajaro Dunes CDP,122,65,57,42,57.5,33.3,2,15,106,53,41,39,46.7,12.3
Paradise Park CDP,367,189,178,50.9,55.4,47,15,47,308,180,143,96,48.5,12.8
Pasatiempo CDP,1093,548,545,53.8,54.3,53.1,42,179,891,526,450,347,49.9,16.4
Pleasure Point CDP,5821,2906,2915,43.8,42.9,44.7,258,937,4743,1999,1597,1116,50.1,16.1
Rio del Mar CDP,9128,4380,4748,51.5,50,53.2,235,1557,7280,4112,3343,2502,52,17.1
Santa Cruz city,62956,31775,31181,33.5,32.8,34.4,1994,7887,46623,16433,13062,9451,49.5,12.5
Scotts Valley city,12224,5901,6323,44.5,42.9,45.7,574,2710,9126,4246,3247,2343,51.7,22.2
Seacliff CDP,3280,1547,1733,47.5,44.8,49.9,145,525,2657,1307,1042,740,52.8,16
Soquel CDP,9980,4803,5177,46.8,44.4,48.9,366,1761,7912,3859,3148,2316,51.9,17.6
Twin Lakes CDP,4944,2380,2564,43,41.5,44.8,200,718,4100,1785,1414,1087,51.9,14.5
Watsonville city,52590,25938,26652,33.1,32.1,34,3491,14816,35339,11661,8867,6177,50.7,28.2
Zayante CDP,729,388,341,46.4,46.8,45.5,24,116,593,272,203,155,46.8,15.9
Shasta County,182155,89654,92501,42.8,41.3,44.5,9592,38643,137656,67271,54393,40779,50.8,21.2
Anderson city,11323,5354,5969,37.4,35.3,39.2,739,2883,8060,3480,2732,2044,52.7,25.5
Bella Vista CDP,3641,1862,1779,51,50.9,51.1,167,693,2834,1642,1316,980,48.9,19
Big Bend CDP,79,40,39,52.8,52.5,55.2,3,11,68,35,30,20,49.4,13.9
Burney CDP,3000,1438,1562,44.5,41,47.6,164,704,2215,1160,945,693,52.1,23.5
Cassel CDP,207,118,89,57.9,61.8,51.3,10,27,175,115,102,77,43,13
Castella CDP,214,108,106,53.5,54.5,53,2,27,183,105,91,60,49.5,12.6
Centerville CDP,2095,1068,1027,50.6,50,51.2,83,447,1571,911,741,559,49,21.3
Cottonwood CDP,6268,3118,3150,39.8,38,41.3,348,1535,4540,2060,1604,1119,50.3,24.5
Fall River Mills CDP,616,268,348,50.4,49,51,37,132,470,290,266,224,56.5,21.4
French Gulch CDP,373,196,177,55.3,51.6,56.6,15,76,295,188,139,85,47.5,20.4
Happy Valley CDP,4949,2504,2445,47.5,46.2,49,235,1015,3773,1998,1582,1168,49.4,20.5
